company,year,tipo,region,actual_ton
PESQUERA DIAMANTE S.A.,2019,T1,Centro Sur,96423.0
PESQUERA DIAMANTE S.A.,2019,T2,Centro Sur,13165.0
PESQUERA DIAMANTE S.A.,2020,T1,Centro Sur,95225.0
PESQUERA DIAMANTE S.A.,2020,T2,Centro Sur,46070.0
PESQUERA DIAMANTE S.A.,2021,T1,Centro Sur,50235.0
PESQUERA DIAMANTE S.A.,2021,T2,Centro Sur,98590.0
PESQUERA DIAMANTE S.A.,2022,T1,Centro Sur,110755.0
PESQUERA DIAMANTE S.A.,2022,T2,Centro Sur,31025.0
PESQUERA DIAMANTE S.A.,2023,T1,Centro Sur,130.0
PESQUERA DIAMANTE S.A.,2023,T2,Centro Sur,106670.0
PESQUERA DIAMANTE S.A.,2024,T1,Centro Sur,158381.6670486
PESQUERA DIAMANTE S.A.,2024,T2,Centro Sur,69684.874256
PESQUERA DIAMANTE S.A.,2025,T1,Centro Sur,124674.4981919
PESQUERA DIAMANTE S.A.,2025,T2,Centro Sur,37153.0
PESQUERA EXALMAR S.A.A.,2018,T1,Centro Sur,86765.0
PESQUERA EXALMAR S.A.A.,2018,T2,Centro Sur,74929.0
PESQUERA EXALMAR S.A.A.,2019,T1,Centro Sur,70738.0
PESQUERA EXALMAR S.A.A.,2019,T2,Centro Sur,11108.0
PESQUERA EXALMAR S.A.A.,2020,T1,Centro Sur,111165.0
PESQUERA EXALMAR S.A.A.,2020,T2,Centro Sur,59258.0
PESQUERA EXALMAR S.A.A.,2021,T1,Centro Sur,128338.0
PESQUERA EXALMAR S.A.A.,2021,T2,Centro Sur,97360.0
PESQUERA EXALMAR S.A.A.,2022,T1,Centro Sur,78435.0
PESQUERA EXALMAR S.A.A.,2022,T2,Centro Sur,64930.0
PESQUERA EXALMAR S.A.A.,2023,T1,Centro Sur,833.8179078000001
PESQUERA EXALMAR S.A.A.,2023,T2,Centro Sur,101690.0
PESQUERA EXALMAR S.A.A.,2024,T1,Centro Sur,161788.8491424
PESQUERA EXALMAR S.A.A.,2024,T2,Centro Sur,56205.5045957
PESQUERA EXALMAR S.A.A.,2025,T1,Centro Sur,59559.40911
TASA,2015,T2,Centro Sur,89640.0
TASA,2016,T1,Centro Sur,90425.0
TASA,2016,T2,Centro Sur,29473.6
TASA,2017,T1,Centro Sur,137710.0
TASA,2018,T1,Centro Sur,220118.0
TASA,2018,T2,Centro Sur,132295.0
TASA,2019,T1,Centro Sur,119795.0
TASA,2019,T2,Centro Sur,12932.0
TASA,2020,T1,Centro Sur,88071.0
TASA,2020,T2,Centro Sur,65196.0
TASA,2021,T1,Centro Sur,85630.0
TASA,2021,T2,Centro Sur,142479.0
TASA,2022,T1,Centro Sur,137487.0
TASA,2022,T2,Centro Sur,49313.0
TASA,2023,T1,Centro Sur,795.0
TASA,2023,T2,Centro Sur,162347.6532936
TASA,2024,T1,Centro Sur,180217.1895524
TASA,2024,T2,Centro Sur,90744.9233237
TASA,2025,T1,Centro Sur,200210.2362447
TASA,2025,T2,Centro Sur,60013.0
AUSTRAL GROUP SAA,2015,T2,Todas,54330.0
AUSTRAL GROUP SAA,2016,T1,Todas,60345.0
AUSTRAL GROUP SAA,2016,T2,Todas,84420.0
AUSTRAL GROUP SAA,2017,T1,Todas,158185.0
AUSTRAL GROUP SAA,2017,T2,Todas,70.0
AUSTRAL GROUP SAA,2018,T1,Todas,218844.0
AUSTRAL GROUP SAA,2018,T2,Todas,127650.0
AUSTRAL GROUP SAA,2019,T1,Todas,153116.0
AUSTRAL GROUP SAA,2019,T2,Todas,51180.0
AUSTRAL GROUP SAA,2020,T1,Todas,150215.0
AUSTRAL GROUP SAA,2020,T2,Todas,114980.0
AUSTRAL GROUP SAA,2021,T1,Todas,175335.0
AUSTRAL GROUP SAA,2021,T2,Todas,148030.0
AUSTRAL GROUP SAA,2022,T1,Todas,172390.0
AUSTRAL GROUP SAA,2022,T2,Todas,74500.0
AUSTRAL GROUP SAA,2023,T1,Todas,705.0
AUSTRAL GROUP SAA,2023,T2,Todas,101760.0
AUSTRAL GROUP SAA,2024,T1,Todas,344239.532917
AUSTRAL GROUP SAA,2024,T2,Todas,117231.0187811
AUSTRAL GROUP SAA,2025,T1,Todas,174250.8519602
AUSTRAL GROUP SAA,2025,T2,Todas,78493.0
CFG-COPEINCA,2015,T2,Todas,122660.0
CFG-COPEINCA,2016,T1,Todas,143140.0
CFG-COPEINCA,2016,T2,Todas,211143.0
CFG-COPEINCA,2017,T1,Todas,411213.0
CFG-COPEINCA,2017,T2,Todas,615.0
CFG-COPEINCA,2018,T1,Todas,598535.0
CFG-COPEINCA,2018,T2,Todas,327040.0
CFG-COPEINCA,2019,T1,Todas,385276.0
CFG-COPEINCA,2019,T2,Todas,268805.0
CFG-COPEINCA,2020,T1,Todas,423105.0
CFG-COPEINCA,2020,T2,Todas,312562.0
CFG-COPEINCA,2021,T1,Todas,445020.0
CFG-COPEINCA,2021,T2,Todas,353200.0
CFG-COPEINCA,2022,T1,Todas,365913.0
CFG-COPEINCA,2022,T2,Todas,205515.0
CFG-COPEINCA,2023,T1,Todas,10193.9
CFG-COPEINCA,2023,T2,Todas,223210.0
CFG-COPEINCA,2024,T1,Todas,836270.6572724
CFG-COPEINCA,2024,T2,Todas,311864.1802592
CFG-COPEINCA,2025,T1,Todas,414901.8092617
CFG-COPEINCA,2025,T2,Todas,241067.0
HAYDUK,2015,T2,Todas,61478.0
HAYDUK,2016,T1,Todas,69505.0
HAYDUK,2016,T2,Todas,102195.0
HAYDUK,2017,T1,Todas,178270.0
HAYDUK,2017,T2,Todas,20.0
HAYDUK,2018,T1,Todas,248420.0
HAYDUK,2018,T2,Todas,149683.0
HAYDUK,2019,T1,Todas,159410.0
HAYDUK,2019,T2,Todas,13865.0
HAYDUK,2020,T1,Todas,130980.0
HAYDUK,2020,T2,Todas,106730.0
HAYDUK,2021,T1,Todas,129166.0
HAYDUK,2021,T2,Todas,128075.0
HAYDUK,2022,T1,Todas,161633.0
